round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,val_acc_history,val_f1_history,unweighted_error,noisy_weight,clean_weight
1,0.6703214285714286,0.7437926948350605,0.09928571428571428,0.01806367771280052,0.09592857142857143,0.01750635468943492,0.6703214285714286,,
2,0.6725428656276511,0.7387579431387215,0.32967857142857143,0.18770962577826475,0.3279285714285714,0.1873880683155355,0.7043571428571429,,
3,0.7175666228277422,0.6324007348263798,0.32967857142857143,0.18770962577826475,0.3279285714285714,0.1873880683155355,0.7726964285714286,,
4,0.704544882494361,0.6640947392137424,0.32967857142857143,0.18770962577826475,0.3279285714285714,0.1873880683155355,0.7073214285714285,,
5,0.7094512228191812,0.6522521508224692,0.3761607142857143,0.26694738830867204,0.37514285714285717,0.26788701800334447,0.7504642857142857,,
6,0.6818275934452129,0.7175205709141139,0.4393392857142857,0.3825998237045019,0.4287142857142857,0.37250650612385433,0.7057321428571428,,
7,0.7396576940354526,0.5765172001487409,0.5141607142857143,0.4769713713458234,0.5080714285714286,0.4704975213571891,0.7789821428571428,,
8,0.6942307150234377,0.6886255382939896,0.5478214285714286,0.5194072813735844,0.5413571428571429,0.5142885360873604,0.7564821428571429,,
9,0.7069000487426748,0.6584244883114684,0.5694821428571428,0.5560941363000153,0.5628571428571428,0.5498960030511837,0.6755178571428572,,
10,0.7168015250810142,0.6342867823427856,0.5876071428571429,0.5711361505083995,0.5891428571428572,0.5733275691356545,0.7745178571428571,,
11,0.7124304552281067,0.6450035012494861,0.6230178571428572,0.6127254755698576,0.6242142857142857,0.613716417898831,0.7055357142857143,,
12,0.7433138862435168,0.5669800775442072,0.6134642857142857,0.6026611551354178,0.6125714285714285,0.6024160948958376,0.7370714285714286,,
13,0.7431448400489604,0.5674229790916869,0.6399107142857143,0.6267367220093221,0.6367142857142857,0.6235414474946128,0.7139285714285715,,
14,0.6996655119033962,0.6757595052521923,0.6431785714285714,0.6270827344928549,0.6434285714285715,0.6274797890982194,0.7377321428571428,,
15,0.7378237180304988,0.5812683775907742,0.6566071428571428,0.6488099668348056,0.6606428571428572,0.6532893030088858,0.7193035714285714,,
16,0.7512486725588388,0.5459707854681467,0.6763571428571429,0.6673407615552203,0.6775714285714286,0.6685848446314628,0.7226964285714286,,
17,0.7623297591905502,0.5158647652598726,0.676,0.6686267451222319,0.678,0.6716855144401181,0.7501428571428571,,
18,0.7383983745827564,0.5797819641758494,0.6945357142857143,0.6865865474551617,0.6938571428571428,0.6862050095313318,0.70975,,
19,0.7804958324044133,0.46433319807321527,0.7019821428571429,0.6944740070907715,0.703,0.6960326617628281,0.8085892857142857,,
20,0.7597716346240522,0.5228983316491778,0.6998928571428571,0.6940117922211999,0.7007857142857142,0.695932008027565,0.7044285714285714,,
21,0.7840137254788205,0.4540064559662521,0.7063392857142857,0.6998234895095999,0.7064285714285714,0.7008294487322708,0.7305178571428571,,
22,0.7693750947889892,0.4962192804902317,0.70775,0.6989517466998152,0.7065,0.6987143313401271,0.7849642857142857,,
23,0.7615826062598938,0.5179244126940395,0.7085535714285714,0.7031097873678028,0.7105,0.7059684791119988,0.7389107142857143,,
24,0.7980258081474274,0.411611782752611,0.7267142857142858,0.7207007201941775,0.7263571428571428,0.7204154072672895,0.789375,,
25,0.8013994075961136,0.40108042642602015,0.7352678571428571,0.7299220050753578,0.733,0.7275468276467381,0.8078392857142858,,
26,0.7646704707591591,0.5093831887426419,0.7400714285714286,0.7348945257749326,0.7377857142857143,0.7328137058677056,0.755375,,
27,0.7892456700439703,0.43842003910552496,0.7406428571428572,0.7388910393007901,0.7427857142857143,0.7409857724993003,0.7692678571428572,,
28,0.7953246650221824,0.4199495771330365,0.7375,0.7350295265888256,0.7389285714285714,0.7366684704634541,0.7574821428571429,,
29,0.7970060403156856,0.4147692715544842,0.7443928571428572,0.741470041831662,0.7451428571428571,0.7424543269796086,0.7024107142857143,,
30,0.7880521557691825,0.44200026438490314,0.7489821428571428,0.7444927722537604,0.7481428571428571,0.7440508390350272,0.7774821428571429,,
31,0.7954205901319082,0.4196548854039486,0.7575178571428571,0.7526377385993224,0.7568571428571429,0.752247662243489,0.8183392857142857,,
32,0.7906248762590156,0.4342642277557779,0.7587142857142857,0.7555882805006882,0.7560714285714286,0.7530464685512214,0.7545357142857143,,
33,0.7916969147417099,0.43102005096879625,0.7620178571428572,0.7592569033635487,0.7589285714285714,0.7563198271177982,0.8210535714285714,,
34,0.7912122290054523,0.4324883135654243,0.7631785714285715,0.7608585230730172,0.76,0.757696114026313,0.8041785714285714,,
35,0.8073875259373946,0.3820505413262476,0.7646428571428572,0.7628436185811345,0.7637142857142857,0.7618202274721875,0.7513571428571428,,
36,0.7946732810488394,0.4219479879163005,0.7619107142857143,0.7591440576856158,0.7608571428571429,0.7581948922437557,0.7281785714285715,,
37,0.7947272034018867,0.4217827357887488,0.7622678571428572,0.7598093532885337,0.7602142857142857,0.7578482438534173,0.7731071428571429,,
38,0.8132155213668686,0.36309192025042814,0.7702857142857142,0.7682261118576683,0.7685,0.7664785367733334,0.8285357142857143,,
39,0.8012134139620113,0.4016645243168271,0.7719107142857143,0.7699724359173424,0.7705714285714286,0.768642021223585,0.7806071428571428,,
