round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,val_acc_history,val_f1_history,unweighted_error,noisy_weight,clean_weight
1,0.4801964285714286,2.7317763886947204,0.09778571428571428,0.01781508230854317,0.09671428571428571,0.017637097824671093,0.4801964285714286,0.19939285714285718,0.8006071428571431
2,0.6300710005938639,1.9976437904073898,0.5198035714285715,0.5157987986794111,0.516,0.5106367522660223,0.540125,0.3508713728617959,0.6491286271382041
3,0.7280751748889684,1.454815106506567,0.5198035714285715,0.5157987986794111,0.516,0.5106367522660223,0.6320357142857143,0.48573786623866244,0.5142621337613376
4,0.8051676593565897,0.933976135523303,0.5789821428571429,0.5771320973172253,0.5693571428571429,0.5666782087553346,0.7343035714285714,0.577730856339697,0.4222691436603031
5,0.8229101565654925,0.7932416906571194,0.5864464285714286,0.5853198772261108,0.5752142857142857,0.5733571583132837,0.7687321428571429,0.6205347087837132,0.3794652912162869
6,0.8435914143224951,0.6144336341414586,0.5984642857142857,0.598106812853331,0.5851428571428572,0.5840131477344281,0.7965357142857142,0.6498606403679171,0.35013935963208304
7,0.8354084434191562,0.6873249703455042,0.6029642857142857,0.6020708923467861,0.5892857142857143,0.587562188888666,0.7072857142857143,0.6676256734717274,0.3323743265282726
8,0.8509753294876705,0.545943966428601,0.6126071428571429,0.6114153464742788,0.5997857142857143,0.597825075818955,0.8145357142857143,0.6964373863588091,0.3035626136411908
9,0.8596302775804423,0.4620024076435424,0.6151964285714285,0.6140680082173218,0.6034285714285714,0.601475475190768,0.8398928571428571,0.7104943293492566,0.28950567065074345
10,0.8460503771479185,0.591925315927639,0.6192857142857143,0.6181639253412647,0.6071428571428571,0.6051706705220474,0.8742142857142857,0.7183484772793356,0.2816515227206644
11,0.8533412432887904,0.5234082772439909,0.6221607142857143,0.6210274439174145,0.6105714285714285,0.6086039721739972,0.8244464285714286,0.7250760476790035,0.27492395232099676
12,0.8649786979016918,0.40794270806640415,0.6281964285714285,0.6271146567049177,0.6161428571428571,0.6144529319739803,0.8626071428571429,0.7347260968671965,0.2652739031328035
13,0.8587380599842362,0.47085184246063383,0.6305892857142857,0.6295471792868258,0.6187142857142857,0.6170332003224509,0.8595178571428571,0.7376715086333451,0.2623284913666548
14,0.8715166005626032,0.3393472476302696,0.6321071428571429,0.6310244353871466,0.6197142857142857,0.6179776183321211,0.898875,0.7434566186156707,0.2565433813843294
15,0.8575944483161705,0.4821266943770758,0.6316071428571428,0.6305298481698413,0.6202857142857143,0.6185208805136895,0.9259464285714286,0.7434580849224716,0.2565419150775284
16,0.8612776420337911,0.44553860542533474,0.6336428571428572,0.6325221440944719,0.6225714285714286,0.6207085799413405,0.893375,0.7453312930803502,0.2546687069196499
17,0.8621414402636177,0.43684015969398216,0.6347857142857143,0.6337164201858556,0.6235714285714286,0.6217989125871235,0.8859285714285714,0.7456949321382089,0.254305067861791
18,0.8640375287634707,0.41758472912658684,0.63525,0.6343942807100851,0.6249285714285714,0.6234095393022372,0.9230178571428571,0.7502157268996985,0.2497842731003017
19,0.8700774388556007,0.35469713871715625,0.6356428571428572,0.6348047575059593,0.6257857142857143,0.6242985721109434,0.8917321428571429,0.7489249287440061,0.2510750712559938
20,0.8698524701299282,0.35708352814832,0.6360535714285714,0.6352035720589656,0.6263571428571428,0.6249904009808944,0.9002678571428572,0.7489740368261065,0.25102596317389353
21,0.8736576455815117,0.3162375709817565,0.6378571428571429,0.6368671746373872,0.6281428571428571,0.6266926453924723,0.8827678571428571,0.7494773433343558,0.2505226566656442
22,0.8719412627498844,0.3347898700301865,0.6377678571428571,0.6367610477954858,0.6281428571428571,0.6266628920854955,0.8574821428571429,0.7495327945422268,0.25046720545777335
23,0.8723464260098406,0.330429715726219,0.6400892857142857,0.6390302403215132,0.631,0.6293738373587043,0.9181607142857143,0.7525834904770429,0.24741650952295702
24,0.8605925923578308,0.45240480106302633,0.6396785714285714,0.6387212892804128,0.6310714285714286,0.6294500544731731,0.9118928571428572,0.7525187639885524,0.24748123601144748
25,0.8601408030321984,0.45691758912874114,0.6401428571428571,0.6391761343002323,0.6330714285714286,0.6314281580472577,0.8967857142857143,0.7526151382240278,0.24738486177597216
26,0.8739699762221653,0.3128384603240641,0.641875,0.6408365969601969,0.6337857142857143,0.6320037882111131,0.8793928571428572,0.7537412564712704,0.2462587435287297
27,0.8666691861013358,0.3904807169523659,0.6411964285714286,0.6403913921633564,0.6337142857142857,0.6323511571264905,0.8680357142857142,0.7552547697798081,0.2447452302201919
28,0.8729715047410086,0.3236797152668521,0.6431964285714286,0.642395955285837,0.6357142857142857,0.6344303831982154,0.8769107142857143,0.7570113034185011,0.2429886965814989
29,0.8629462519096537,0.42869440731783176,0.6437678571428571,0.6426651609424102,0.6350714285714286,0.6333832114382564,0.8574285714285714,0.7569873428345204,0.24301265716547962
30,0.8675984418315839,0.3808020076979142,0.64625,0.645278698404091,0.6392857142857142,0.6377644989943249,0.8727857142857143,0.7603760646740549,0.23962393532594495
31,0.8619227045438058,0.43904714514038884,0.6489642857142857,0.647914829678615,0.6435,0.6418874112342604,0.8922857142857142,0.7614591897797663,0.23854081022023366
32,0.8630805270092875,0.42733145360930935,0.6498392857142857,0.6487812220401533,0.6435,0.6418707682002737,0.8846428571428572,0.7608534918625482,0.23914650813745178
33,0.8732944160975212,0.3201815881934544,0.6521964285714286,0.6511233376925866,0.6458571428571429,0.6441711490007869,0.8991607142857143,0.7620609426586158,0.23793905734138432
