round,weighted_error,alpha,acc_on_training_data,f1_on_training_data,val_acc_history,val_f1_history,unweighted_error,noisy_weight,clean_weight
1,0.5676071428571429,1.5401036914777124,0.09858928571428571,0.017948342842281497,0.09828571428571428,0.017898022892819977,0.5676071428571429,0.1492321428571429,0.8507678571428574
2,0.6082157865740919,1.4059248467813252,0.43239285714285713,0.3760157010612586,0.4357857142857143,0.37870832262712123,0.6420357142857143,0.20758730816818188,0.792412691831818
3,0.6571456231456935,1.23729978762269,0.43239285714285713,0.3760157010612586,0.4357857142857143,0.37870832262712123,0.5927678571428572,0.27359304430068954,0.7264069556993105
4,0.7242206174256541,0.9853837749953073,0.5011428571428571,0.4927573972037019,0.5055714285714286,0.49587076358439697,0.6592678571428572,0.3427415735047612,0.6572584264952389
5,0.7576750907238461,0.8457994798254399,0.5541428571428572,0.5448613848737779,0.5542142857142857,0.5443085887978131,0.7600357142857143,0.394249022264331,0.605750977735669
6,0.7736809569048961,0.7744085503874436,0.5818035714285714,0.5758745450877348,0.5767142857142857,0.5708457726939079,0.6474285714285715,0.4335656901932696,0.5664343098067302
7,0.7886399168731192,0.7043823790829498,0.61075,0.6059233144549825,0.609,0.6038079706056834,0.734125,0.47534960214079086,0.5246503978592092
8,0.807426643523265,0.6110796192356279,0.6250892857142857,0.6226283684982223,0.6218571428571429,0.6184988273882766,0.7175,0.5126442600219809,0.4873557399780192
9,0.8264148897657044,0.5094365360604732,0.6334821428571429,0.6316742564040807,0.6283571428571428,0.6262078979724889,0.7916785714285715,0.5418984716740876,0.45810152832591244
10,0.8276688472451756,0.5024235027121096,0.6418214285714285,0.6399418725682815,0.6372857142857142,0.635179141988887,0.7246428571428571,0.5602982963809775,0.4397017036190224
11,0.8430214108307427,0.41307331408919146,0.65625,0.6544903237002971,0.6535714285714286,0.6516248850566086,0.7414464285714286,0.5809216976884173,0.41907830231158283
12,0.8461565419850012,0.3939646208516477,0.6621964285714286,0.6602119042602234,0.6571428571428571,0.6547701215173309,0.8340535714285714,0.5930690970235457,0.40693090297645435
13,0.8463325925766425,0.3928821875307808,0.6665178571428572,0.6646335039809781,0.6627142857142857,0.6607003722034074,0.7837142857142857,0.6032256172695378,0.39677438273046217
14,0.851979286219408,0.35761166775950387,0.6739464285714286,0.672532967584352,0.6699285714285714,0.6683161011382145,0.7671071428571429,0.6183675971691778,0.3816324028308223
15,0.8627489398548078,0.28713011896574303,0.6778928571428572,0.6761182300928075,0.6732142857142858,0.6713515684264041,0.779625,0.6264782264543314,0.3735217735456686
16,0.8568866552939062,0.3260446893145968,0.6801428571428572,0.6783082424244753,0.676,0.6740501960429,0.8127678571428572,0.6343230019785816,0.3656769980214183
17,0.8676102249258556,0.2537859409099758,0.6839821428571429,0.682032304770174,0.6802857142857143,0.6782639641204489,0.8673928571428572,0.6407844036961593,0.3592155963038406
18,0.8639856179024213,0.278743268383448,0.687375,0.685729405216899,0.6830714285714286,0.681308964011716,0.8547142857142858,0.6433512719763828,0.35664872802361736
19,0.8800525430925419,0.16343740110076582,0.688875,0.6873285495520902,0.6854285714285714,0.6838657714272259,0.8788392857142857,0.6484645340133044,0.35153546598669555
20,0.8743026061315471,0.20614033021320727,0.6897678571428572,0.6882070171298431,0.6857857142857143,0.684145870219947,0.8269464285714285,0.6485986673422888,0.3514013326577112
21,0.8608228795696509,0.3000665428181366,0.6905714285714286,0.6889628675741831,0.6878571428571428,0.6862571568583558,0.8292321428571429,0.6523406889243006,0.34765931107569936
22,0.8714767323393275,0.2265162962972001,0.6936071428571429,0.6922674883319874,0.6918571428571428,0.6904667423216694,0.889375,0.6575349797146028,0.34246502028539716
23,0.8716437401385365,0.22532277578451387,0.6950178571428571,0.6934161977071884,0.6922142857142857,0.6905903486922431,0.80475,0.6560642750511949,0.3439357249488048
24,0.8821555326509345,0.14737750218523935,0.6965178571428572,0.6948105135382436,0.694,0.6922070870611826,0.8624464285714286,0.6610458468489726,0.33895415315102717
25,0.8607591505946449,0.30049200595246595,0.6974107142857143,0.6957729277196426,0.6951428571428572,0.6933785367392518,0.784125,0.6627429913864014,0.33725700861359864
26,0.8670226761003375,0.2578704503332048,0.7010535714285714,0.6992838163673594,0.6964285714285714,0.6945001928454418,0.8677857142857143,0.670406824519741,0.32959317548025907
27,0.8641128619670917,0.2778766908694603,0.7018392857142857,0.6999463930415865,0.6970714285714286,0.6949847384425452,0.8855714285714286,0.6729430132922425,0.32705698670775746
28,0.8680936789750716,0.2504135398764504,0.703,0.7011791519791247,0.6982857142857143,0.6963325205402237,0.9270178571428571,0.6737603485469548,0.32623965145304523
29,0.8740844479200875,0.20772723574297097,0.7040178571428571,0.7022782183188774,0.6994285714285714,0.6975340982887172,0.868,0.6708605077996194,0.3291394922003805
30,0.8738160426884143,0.2096764177516743,0.7056607142857143,0.7038833696695258,0.7009285714285715,0.6990238487944953,0.8738928571428571,0.6732970123405821,0.32670298765941785
31,0.8602178813850883,0.3040990275554153,0.7066964285714286,0.7049206722737211,0.7022857142857143,0.7003827036399175,0.78125,0.6758495788062174,0.32415042119378246
32,0.8672251682322687,0.2564644991390425,0.7094642857142858,0.7077024622731867,0.7045714285714286,0.7027275434422282,0.8885892857142857,0.6833950257473267,0.3166049742526732
33,0.8766927317173252,0.18859789253124826,0.7101607142857143,0.7083503257296795,0.7047857142857142,0.7029017036657053,0.8374642857142857,0.6820600413834069,0.3179399586165929
